ERI_1,ERI_2,ERI_3,ERI_4,ERI_5,ERI_6,ERI_7,ERI_8,ERI_9,ERI_10,CBI_01,CBI_02,CBI_03,CBI_04,CBI_05,CBI_06,gender,birth year,status of employment,field of work,federal state,community size,income,working_hours,age,CBI_SCORE,Burnout_Score
Disagree,Agree,Agree,Disagree,Strongly agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Female,1976.0,Employed,Zoo Animals,Schleswig-Holstein,5000 pop. aprox.,3. 2000 to 3000 eur,30,50.0,25.0,0
Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Strongly disagree,Disagree,Strongly disagree,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Female,1989.0,Employed,Small Animal Medicine,Berlin,100000 pop. aprox.,1. less than 1000 eur,30,37.0,25.0,0
Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Often,Sometimes,Sometimes,Sometimes,Often,Often,Male,1967.0,Self-Employed,Small Animal Medicine,Schleswig-Holstein,20000 pop. aprox.,4. 3000 to 4000 eur,50,59.0,62.5,1
Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Seldom,Seldom,Sometimes,Sometimes,Sometimes,Sometimes,Female,1965.0,Other,Zoo Animals,Schleswig-Holstein,5000 pop. aprox.,1. less than 1000 eur,45,61.0,41.7,0
Agree,Strongly agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Agree,Sometimes,Often,Always,Always,Always,Often,Male,1959.0,Employed,Industry Field Service,Saxony (Sachsen),20000 pop. aprox.,5. 4000 to 5000 eur,40,67.0,83.3,1
Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Never,Seldom,Seldom,Sometimes,Seldom,Sometimes,Female,1978.0,Employed,Industry Field Service,Saxony (Sachsen),100000 pop. aprox.,3. 2000 to 3000 eur,42,48.0,29.2,0
Strongly disagree,Agree,Strongly disagree,Disagree,Strongly agree,Disagree,Agree,Agree,Disagree,Disagree,Sometimes,Always,Often,Often,Always,Always,Male,1961.0,Employed,Zoo Animals,Schleswig-Holstein,50000 pop. aprox.,3. 2000 to 3000 eur,30,65.0,83.3,1
Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Seldom,Seldom,Seldom,Seldom,Seldom,Sometimes,Male,1980.0,Employed,Farm Animals,Schleswig-Holstein,20000 pop. aprox.,2. 1000 to 2000 eur,43,46.0,29.2,0
Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Seldom,Sometimes,Sometimes,Often,Seldom,Always,Female,1981.0,Employed,Small Animal Medicine,Bavaria,50000 pop. aprox.,2. 1000 to 2000 eur,42,45.0,54.2,1
Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Often,Often,Always,Always,Always,Often,Female,1985.0,Employed,Research,Saxony (Sachsen),100000 pop. aprox.,2. 1000 to 2000 eur,40,41.0,87.5,1
Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Female,1991.0,Working in a non-veterinarian field,Zoo Animals,Brandenburg,100000 pop. aprox.,1. less than 1000 eur,20,35.0,54.2,1
